Station_ID Latitude Longitude Closer_Vertex_ID Further_Vertex_ID Segment_ID NumTotalSegments Capacity
-1 50.5314 14.9647 6546 2463 2 4 4
140 49.532 17.6072 2983 2982 0 1 4
-1 49.6427 18.1613 7044 3048 0 1 4
143 48.7374 16.8111 240 5918 2 6 4
144 49.5728 18.3562 2707 2706 0 1 4
145 50.1537 16.2798 6994 6534 0 1 4
-1 49.2805 17.0213 7666 3608 0 1 4
147 49.0314 15.8303 4351 4346 0 1 4
148 48.7552 14.9474 5805 4802 0 1 4
149 49.5849 17.7905 4948 226 0 1 4
-1 49.9349 14.0213 1692 1691 0 1 4
-1 49.7113 17.017 4660 4659 0 1 4
155 49.7974 14.1956 1533 1532 0 1 4
156 50.1197 14.9448 7016 1639 0 1 4
-1 49.3205 17.3142 2611 2606 0 1 4
158 49.6709 14.0613 6607 5469 0 1 4
159 49.8142 14.6031 1829 6102 40 163 4
160 49.6768 18.6013 4010 3876 0 1 4
161 49.0422 15.7989 5189 5187 0 1 4
162 50.271 14.2601 2403 2405 0 2 4
163 49.3669 14.7205 6278 5328 0 1 4
165 50.4498 13.0642 3299 6028 6 17 4
166 49.7057 12.6977 1079 1077 0 1 4
168 49.2075 17.5564 2825 1013 1 2 4
169 49.9466 15.6849 7190 5273 0 1 4
170 49.4674 13.0826 1788 4422 2 20 4
172 49.1787 16.8146 352 209 0 1 4
-1 49.7515 16.6708 1718 1850 1 4 4
174 49.2048 14.2104 2430 2429 0 1 4
-1 50.1617 12.6431 4774 5054 0 2 4
-1 49.3095 15.0773 3377 3375 0 1 4
177 49.3313 17.0532 7791 230 0 1 4
-1 49.1499 17.0821 7795 5989 0 1 4
179 50.5662 15.9927 1898 5995 0 17 4
180 50.2487 14.7549 2003 2002 0 1 4
181 49.5567 17.7482 7039 136 0 1 4
182 50.0699 16.6742 2395 5598 4 11 4
-1 49.6723 13.335 4414 2539 1 2 4
184 48.799 16.6322 238 237 0 1 4
185 49.888 18.0646 4483 4482 0 1 4
186 48.9985 14.4851 4344 4140 0 1 4
187 49.9663 12.6538 4715 4711 0 1 4
188 49.4467 16.5753 5631 3622 5 7 4
