  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
          300        116760     114.803       -0.39498        192.988   1.17063e+07              1000                     3            0.0001                      0.01           100                    0.7                0.1               2
          300        116912      90.2229      -0.381977       187.321   1.17215e+07              1000                     3            0.0001                      0.1            100                    0.7                0.1               2
          300        117041      91.9923      -0.382967       182.118   1.17344e+07              1000                     3            0.0001                      0.1              0.01                 0.7                0                 2
          300        117049     118.87        -0.40084        202.905   1.17352e+07              1000                     1            0.0001                      0.01             0.01                 0.5                0.05              2
          300        117078     117.511       -0.398013       208.881   1.17381e+07              1000                     1            0.0001                      0.001            0.01                 0.3                0                 2
          300        117236     114.904       -0.392606       204.328   1.17539e+07              1000                     1            0.0001                      0.01             0.01                 0.3                0.05              2
          300        117276     119.501       -0.396239       206.735   1.17579e+07              1000                     1            0.0001                      0.001            0.1                  0.7                0.05              2
          300        117505     114.25        -0.39294        197.958   1.17808e+07              1000                     3            0.0001                      0.01             1                    0.5                0.1               2
          300        117519     117.86        -0.395246       189.587   1.17822e+07              1000                     3            0.0001                      0.001            0.1                  0.7                0.05              2
          300        117682     114.246       -0.390734       205.71    1.17985e+07              1000                     1            0.0001                      0.01             0.1                  0.3                0.05              2
          300        117727      90.3102      -0.381305       182.393   1.1803e+07               1000                     3            0.0001                      0.1              0.1                  0.7                0                 2
          300        117793     115.682       -0.394064       186.464   1.18096e+07              1000                     3            0.0001                      0.01           100                    0.5                0.1               2
          300        117859     119.345       -0.394944       198.921   1.18162e+07              1000                     1            0.0001                      0.001          100                    0.7                0.05              2
          300        117948     116.586       -0.393455       194.188   1.18251e+07              1000                     3            0.0001                      0.01           100                    0.7                0                 2
          300        117951     120.75        -0.397371       194.512   1.18254e+07              1000                     3            0.0001                      0.001            0.1                  0.5                0.1               2
          300        118028     115.728       -0.395329       209.824   1.18331e+07              1000                     1            0.0001                      0.01             0.01                 0.7                0.1               2
          300        118074      91.5627      -0.384506       185.141   1.18377e+07              1000                     3            0.0001                      0.1             10                    0.3                0                 2
          300        118086      90.899       -0.383398       189.489   1.18389e+07              1000                     3            0.0001                      0.1              0.1                  0.7                0.1               2
          300        118121     122.041       -0.396116       192.425   1.18424e+07              1000                     3            0.0001                      0.001            0.1                  0.5                0                 2
          300        118131     119.459       -0.394254       204.469   1.18434e+07              1000                     1            0.0001                      0.001            0.1                  0.3                0.05              2
          300        118610      91.4857      -0.382981       187.838   1.18913e+07              1000                     3            0.0001                      0.1              0.01                 0.7                0.1               2
          300        118827     115.017       -0.388433       193.082   1.1913e+07               1000                     3            0.0001                      0.01            10                    0.3                0.05              2
          300        118847      90.7954      -0.38344        180.201   1.1915e+07               1000                     3            0.0001                      0.1            100                    0.3                0.1               2
          300        119038     113.889       -0.394186       190.747   1.19341e+07              1000                     3            0.0001                      0.01             1                    0.3                0                 2
          300        119077     114.489       -0.391364       191.791   1.1938e+07               1000                     3            0.0001                      0.01            10                    0.7                0.1               2
          300        119125     114.398       -0.390404       190.018   1.19428e+07              1000                     3            0.0001                      0.01            10                    0.7                0                 2
          300        119286      91.568       -0.383431       182.396   1.19589e+07              1000                     3            0.0001                      0.1              0.1                  0.3                0.1               2
          300        119851     117.772       -0.397063       192.457   1.20154e+07              1000                     3            0.0001                      0.01            10                    0.7                0.05              2
          300        120853     114.642       -0.392934       195.856   1.21156e+07              1000                     3            0.0001                      0.01            10                    0.5                0.1               2
          300        121088     116.116       -0.397516       203.387   1.21391e+07              1000                     1            0.0001                      0.001           10                    0.5                0                 2
