  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numClosestStations    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance
          300        642204      83.3277      -0.342445        175.026  6.42507e+07                    10                      0.1              0.01                 0.7                0
          300        642380     118.829       -0.342912        202.691  6.42683e+07                     1                      0.01             0.01                 0.3                0
          300        642462     118.532       -0.349019        204.273  6.42765e+07                     1                      0.001            1                    0.5                0.1
          300        642618      99.6056      -0.347447        188.771  6.42921e+07                     5                      0.01             0.01                 0.7                0.05
          300        642865     121.616       -0.348535        180.731  6.43168e+07                     5                      0.001            0.01                 0.5                0.1
          300        643169     120.778       -0.348104        198.879  6.43472e+07                     1                      0.001          100                    0.7                0.05
          300        643275     118.494       -0.348152        184.604  6.43578e+07                     5                      0.001            1                    0.5                0.1
          300        643576     115.266       -0.343577        197.506  6.43879e+07                     1                      0.001          100                    0.5                0.05
          300        644078     123.71        -0.342525        203.505  6.44381e+07                     1                      0.001          100                    0.7                0
          300        644099     111.097       -0.344449        188.815  6.44402e+07                    10                      0.01             1                    0.3                0.1
          300        644151     121.782       -0.342001        203.826  6.44454e+07                     1                      0.001            0.01                 0.5                0.05
          300        644303      83.3972      -0.343165        171.414  6.44606e+07                    10                      0.1            100                    0.5                0.05
          300        644330     118.218       -0.347059        200.088  6.44633e+07                     1                      0.001          100                    0.3                0
          300        644526     120.865       -0.34551         198.091  6.44829e+07                     1                      0.001            1                    0.3                0.1
          300        644653      83.3501      -0.343022        176.448  6.44956e+07                    10                      0.1              1                    0.3                0
          300        644716     116.568       -0.343729        179.654  6.45019e+07                     5                      0.01             1                    0.3                0
          300        644930      83.5452      -0.343949        174.789  6.45233e+07                    10                      0.1              1                    0.5                0
          300        645733     117.845       -0.344672        203.77   6.46036e+07                     1                      0.01             0.01                 0.5                0
          300        646315      82.3285      -0.342942        167.164  6.46617e+07                    10                      0.1              0.01                 0.7                0.05
          300        646392     111.619       -0.346           179.767  6.46695e+07                     5                      0.01             1                    0.5                0.1
          300        646408      97.0144      -0.344613        204.969  6.46711e+07                     1                      0.01             0.01                 0.5                0.1
          300        646436      83.7463      -0.342518        175.519  6.46739e+07                    10                      0.1              1                    0.7                0
          300        646519     123.419       -0.34472         203.341  6.46822e+07                     1                      0.001            0.01                 0.3                0
          300        646794      83.5044      -0.343401        172.29   6.47097e+07                    10                      0.1            100                    0.7                0
          300        646979      81.1664      -0.344372        171.843  6.47282e+07                    10                      0.1            100                    0.7                0.1
          300        647003     120.524       -0.342902        187.568  6.47306e+07                     5                      0.001          100                    0.3                0.05
          300        647330     120.979       -0.346776        183.89   6.47633e+07                    10                      0.001            1                    0.3                0.1
          300        647393      83.608       -0.343358        173.704  6.47696e+07                    10                      0.1              1                    0.3                0.05
          300        647652      81.7014      -0.343448        174.242  6.47955e+07                    10                      0.1            100                    0.3                0.1
          300        647726     119.548       -0.342364        185.888  6.48029e+07                     5                      0.001          100                    0.5                0.1
          300        647985     102.972       -0.343455        181.131  6.48288e+07                     5                      0.001            1                    0.3                0
          300        648015     115.846       -0.347479        186.778  6.48318e+07                     5                      0.01           100                    0.7                0.05
          300        648098     117.884       -0.345857        205.748  6.48401e+07                     1                      0.01             1                    0.5                0.1
          300        648230      81.8932      -0.343392        170.62   6.48533e+07                    10                      0.1            100                    0.5                0.1
          300        648243      82.9565      -0.343818        177.205  6.48546e+07                    10                      0.1              1                    0.7                0.05
          300        648443     122.294       -0.345562        187.697  6.48746e+07                     5                      0.001          100                    0.7                0.1
          300        648445     114.694       -0.346322        179.041  6.48748e+07                    10                      0.01           100                    0.5                0.1
          300        648931      82.9778      -0.342294        177.257  6.49234e+07                    10                      0.1              0.01                 0.5                0.05
          300        649013     121.2         -0.341892        201.671  6.49316e+07                     1                      0.001          100                    0.5                0
          300        649655      82.4789      -0.342953        174.114  6.49958e+07                    10                      0.1            100                    0.7                0.05
          300        649793     124.323       -0.345841        179.773  6.50096e+07                    10                      0.001            1                    0.5                0.05
          300        649877     103.095       -0.348601        182.768  6.5018e+07                      5                      0.001            0.01                 0.5                0
          300        649896      80.8022      -0.344184        176.635  6.50199e+07                    10                      0.1              1                    0.7                0.1
          300        650052     111.366       -0.343599        182.555  6.50355e+07                    10                      0.01           100                    0.5                0.05
          300        650186     120.028       -0.34764         182.479  6.50489e+07                    10                      0.001            1                    0.7                0.05
          300        650346      81.7076      -0.34351         174.386  6.50649e+07                    10                      0.1              1                    0.3                0.1
          300        650633     121.701       -0.348493        199.037  6.50936e+07                     1                      0.001            1                    0.3                0.05
          300        650855      82.5067      -0.342956        171.991  6.51158e+07                    10                      0.1              1                    0.5                0.05
          300        651047     123.808       -0.349003        182.448  6.5135e+07                      5                      0.001            1                    0.5                0.05
          300        651108     114.623       -0.350614        183.76   6.51411e+07                    10                      0.01             0.01                 0.7                0.1
          300        651404     103.66        -0.341845        189.619  6.51707e+07                     5                      0.001            0.01                 0.3                0.05
          300        651777     101.453       -0.347501        188.372  6.5208e+07                      5                      0.001            0.01                 0.3                0.1
          300        652219      84.6211      -0.344246        169.219  6.52522e+07                    10                      0.1            100                    0.5                0
          300        652274     125.538       -0.345296        180.323  6.52577e+07                    10                      0.001            1                    0.5                0
          300        652601     122.395       -0.343338        182.111  6.52904e+07                    10                      0.001          100                    0.3                0
          300        652625     101.758       -0.345473        189.057  6.52928e+07                     5                      0.001            0.01                 0.5                0.05
          300        652838      99.28        -0.341236        201.625  6.53141e+07                     1                      0.01           100                    0.3                0
          300        652917     102.697       -0.342625        182.67   6.5322e+07                      5                      0.001            0.01                 0.3                0
          300        652992     114.189       -0.340749        176.355  6.53295e+07                    10                      0.01             0.01                 0.5                0.1
          300        653314      82.7392      -0.343447        171.951  6.53617e+07                    10                      0.1            100                    0.3                0.05
          300        653372      81.627       -0.344185        171.028  6.53675e+07                    10                      0.1              0.01                 0.5                0.1
          300        653408     124.973       -0.346209        182.013  6.53711e+07                    10                      0.001          100                    0.5                0
          300        653413      99.6725      -0.344404        179.332  6.53716e+07                     5                      0.01             0.01                 0.7                0
          300        653671     117.194       -0.348591        183.365  6.53974e+07                    10                      0.001            0.01                 0.5                0.1
          300        653694     123.195       -0.346109        183.975  6.53997e+07                    10                      0.001          100                    0.7                0.05
          300        654062     124.025       -0.346085        181.782  6.54365e+07                    10                      0.001            1                    0.7                0
          300        654160     119.425       -0.350828        186.711  6.54463e+07                    10                      0.001          100                    0.3                0.05
          300        654256     114.577       -0.346872        180.733  6.54559e+07                    10                      0.01             0.01                 0.3                0.05
          300        654679     121.843       -0.349831        176.623  6.54982e+07                    10                      0.001            1                    0.7                0.1
          300        654806      97.9789      -0.342829        205.757  6.55109e+07                     1                      0.01             0.01                 0.7                0.1
