  numStat    runDownBat    travDur    battDiff    waitTime    numFinish    numNotFinish    numUsedStat    numStatsCust    notFinis    bestLoss    numStations    geneticNumGenerations    geneticNumBestSelection    geneticTournamentSelectionTreshold    geneticMutationTreshold
     2003          2055    103.778   -0.497361     7.43543        90640            2466           1017           46804        4521      405807           2000                       20                          4                                   0.7                     0.001
     2007          1946    104.109   -0.497448     5.93023        91276            2533           1029           50140        4479      395306           2000                       20                          4                                   0.9                     0.001
     2015          1957    104.093   -0.49743      5.39109        91145            2332           1030           46186        4289      397205           2000                       20                          0                                   0.9                     0.001
     3974          1343    105.459   -0.497492     4.64305        91958            2607           1336           65468        3950      531704           4000                       10                          0                                   0.9                     0.001
     3974          1441    105.021   -0.497467     5.1273         91167            2669           1349           61922        4110      541505           4000                       20                          0                                   0.7                     0.001
     3974          1339    105.079   -0.497452     6.35576        91529            2681           1351           61894        4020      531306           4000                       10                          0                                   0.7                     0.001
     3995          1312    105.295   -0.497475     4.79701        92063            2597           1283           57188        3909      530704           4000                       20                          4                                   0.7                     0.001
     3995          1295    104.857   -0.497368     5.05318        91267            2549           1340           66144        3844      529005           4000                       10                          4                                   0.9                     0.001
     3995          1329    105.084   -0.497421     6.10651        92113            2631           1370           62712        3960      532406           4000                       10                          4                                   0.7                     0.01
     4000          1307    105.432   -0.497363     5.30344        93104            2579           1318           63540        3886      530705           4000                       10                          0                                   0.7                     0.0001
     4000          1301    104.898   -0.497396     4.92906        91984            2674           1370           65248        3975      530105           4000                       10                          4                                   0.7                     0.0001
     4000          1313    105.103   -0.497438     5.24598        92159            2539           1318           62970        3852      531305           4000                       20                          0                                   0.9                     0.001
     4000          1303    104.565   -0.497438     5.9276         91840            2590           1310           60444        3893      530306           4000                       20                          4                                   0.7                     0.0001
     4000          1391    105.232   -0.497418     5.17887        91853            2632           1372           59510        4023      539105           4000                       20                          0                                   0.9                     0.0001
     4000          1308    105.093   -0.497417     5.12375        92157            2626           1368           60804        3934      530805           4000                       10                          4                                   0.9                     0.01
     4001          1290    105.302   -0.497405     5.87953        92317            2587           1316           60884        3877      529105           4000                       10                          4                                   0.9                     0.0001
     4001          1409    105.267   -0.49736      5.28531        91732            2626           1382           66266        4035      541005           4000                       20                          0                                   0.9                     0.01
     4001          1281    105.017   -0.497419     5.84332        91191            2574           1330           61552        3855      528205           4000                       20                          0                                   0.7                     0.01
     4001          1304    105.115   -0.497307     5.50378        92431            2602           1380           59224        3906      530505           4000                       20                          4                                   0.7                     0.01
     4003          1315    105.104   -0.497365     6.22966        92096            2630           1361           62286        3945      531806           4000                       10                          0                                   0.9                     0.0001
     4003          1328    104.809   -0.497351     5.57761        92512            2621           1374           60526        3949      533105           4000                       10                          0                                   0.7                     0.01
     4003          1285    105.214   -0.497364     5.1096         91732            2585           1338           64198        3870      528805           4000                       20                          0                                   0.7                     0.0001
     4003          1421    105.201   -0.49742      5.28883        92308            2549           1376           63212        3970      542405           4000                       20                          4                                   0.9                     0.0001
     4003          1324    105.099   -0.497365     5.17288        92124            2628           1326           60654        3952      532705           4000                       20                          4                                   0.9                     0.001
     4003          1283    105.201   -0.497369     5.76368        92900            2664           1336           69058        3947      528605           4000                       10                          4                                   0.7                     0.001
     4007          1262    105.176   -0.497367     4.20497        92116            2699           1373           68116        3961      526904           4000                       20                          4                                   0.9                     0.01
     4015          1285    105.025   -0.497415     4.97626        91859            2623           1298           61892        3908      530005           4000                       10                          0                                   0.9                     0.01
